PRIMARY_KEY,STATE,YEAR,Inflation_pegged_2019,ALTERNATIVE_KEY,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,KINDERGARTEN_ALL_RATIO_DIFF,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,MEDIAN_INCOME,ALL_STUDENT_TEACHER_RATIO,AVG_ALL_SCORES
2003_ALABAMA,ALABAMA,2003,0.395,2003_ALABAMA,727900,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662,432279,50988,674679,223.3446426,261.9390222,207.0838476,261.8708721,14.40784008,739366,47115,-1.284954144,,15.79630446,13.58224985,15.23594991,14.65604693,15.81591026,15.18411686,14.56807669,13.29194325,13.30972091,11.17224001,15.69279423,238.5595961
2003_ALASKA,ALASKA,2003,0.395,2003_ALASKA,133303,1425948,259423,813371,353154,1610289,763525,514052,55715,247005,70945,124458,232.9916543,279.0250699,211.5471536,268.7724206,27.14016173,134364,8080,10.5109538,,14.50324183,12.79910963,13.94183703,13.10755392,14.62481864,13.87859556,13.48297412,11.2608991,12.75005827,11.50255462,16.62920792,248.0840746
2003_ARIZONA,ARIZONA,2003,0.395,2003_ARIZONA,875111,6529894,740579,2912629,2876686,6210287,2810907,1964229,303924,864642,56340,930090,228.9113961,271.1773505,208.8728014,267.8089667,37.73506081,937755,47101,17.82561091,,16.02479568,13.84808201,15.21746108,15.20504391,15.97461208,15.18191218,14.82350478,12.95742736,14.00296524,11.27205446,19.90944991,244.1926287
2003_ARKANSAS,ARKANSAS,2003,0.395,2003_ARKANSAS,450158,3241275,379947,2394336,466992,3242799,1768713,972598,170767,247245,43798,417119,229.0065887,265.7715893,213.6153045,264.6565519,17.45818902,450985,30330,2.588917667,,15.32437174,13.18068146,15.02151092,13.38696182,15.32484182,14.71865714,14.12062054,12.38094975,12.75102944,11.02023785,14.86927135,243.2625086
2003_CALIFORNIA,CALIFORNIA,2003,0.395,2003_CALIFORNIA,6226552,59815855,5795655,33617766,20402434,59749885,29561563,17030335,2995767,7341541,67473,5899326,227.4549818,267.0495006,205.6324371,255.0733796,19.62547782,6353667,307764,-1.01912974,,18.23967573,15.90551347,17.66345965,17.16405918,18.23857224,17.53487994,16.98340114,15.24560527,16.14195374,11.45237721,20.64460756,238.8025748
2003_COLORADO,COLORADO,2003,0.395,2003_COLORADO,751049,6297242,400219,2715219,3181804,6685029,3168745,2149761,236480,821129,68349,701780,235.1931161,283.3998585,223.660982,266.2285608,19.41333333,751862,45401,2.852861097,,15.98851673,13.23266159,15.14727759,15.3058533,16.04827552,15.30174058,14.91376165,12.70651333,13.95132992,11.46527663,16.56047224,252.1206294
2003_CONNECTICUT,CONNECTICUT,2003,0.395,2003_CONNECTICUT,548466,6959891,351001,2481901,4126989,6751815,3721466,1951609,252325,539870,75226,534893,240.6152416,283.7298112,228.340615,268.1242349,27.57458194,570023,42296,14.09758648,,16.08856879,13.10143877,15.05742977,15.56595306,16.05821633,15.46252265,14.81705913,12.77136763,13.53197806,11.56114661,13.47699546,255.2024757
2003_DELAWARE,DELAWARE,2003,0.395,2003_DELAWARE,111282,1242436,91986,794472,355978,1317447,673997,367660,53399,171247,67088,109764,235.8594245,277.1583689,223.9288114,253.1725937,34.18942731,116342,7698,19.07615114,,14.36547894,11.76228609,13.91832744,13.11551863,14.42410075,13.75387535,13.14780829,11.21844171,12.38375665,11.44665488,15.11327618,247.5297996
2003_FLORIDA,FLORIDA,2003,0.395,2003_FLORIDA,2536699,19549835,1956803,8689141,8903891,20180142,9622598,5938231,1225274,2924134,53338,2395642,233.7288115,271.3714902,218.0144882,255.3201152,25.18136851,2539929,138226,6.806178601,,17.12137182,14.81971699,16.31047906,16.33489335,17.15310402,16.41251926,15.92981625,14.35156947,15.22140334,11.21729872,18.37518991,244.6087263
2003_GEORGIA,GEORGIA,2003,0.395,2003_GEORGIA,1495819,13524807,1051973,6551699,5921135,13516783,7352918,3615906,649880,1705482,58081,1403762,230.2549768,269.6770092,213.5972193,257.998089,20.32442005,1496012,96044,4.748100859,,16.75293053,14.19907242,16.02812938,15.92693313,16.75233707,16.14350221,15.43374742,13.71743742,14.68225274,11.30248828,15.57631919,242.8818236
