Key,Value
2018_ALABAMA,742444
2017_ALABAMA,744930
2016_ALABAMA,743789
2015_ALABAMA,744164
2014_ALABAMA,746204
2013_ALABAMA,744637
2012_ALABAMA,744621
2011_ALABAMA,755552
2010_ALABAMA,748889
2009_ALABAMA,745668
2008_ALABAMA,742919
2007_ALABAMA,743632
2006_ALABAMA,741761
2005_ALABAMA,730140
2004_ALABAMA,731220
2003_ALABAMA,739366
2002_ALABAMA,737190
2001_ALABAMA,739992
2000_ALABAMA,740732
1999_ALABAMA,747980
1998_ALABAMA,749207
1997_ALABAMA,747932
1996_ALABAMA,746149
1995_ALABAMA,736531
1994_ALABAMA,734288
1993_ALABAMA,731634
1992_ALABAMA,722004
1991_ALABAMA,721806
2018_ALASKA,132872
2017_ALASKA,132737
2016_ALASKA,132477
2015_ALASKA,131176
2014_ALASKA,130944
2013_ALASKA,131489
2012_ALASKA,131167
2011_ALASKA,132104
2010_ALASKA,131661
2009_ALASKA,130662
2008_ALASKA,131029
2007_ALASKA,132608
2006_ALASKA,133288
2005_ALASKA,132970
2004_ALASKA,133933
2003_ALASKA,134364
2002_ALASKA,134358
2001_ALASKA,133356
2000_ALASKA,134391
1999_ALASKA,135373
1998_ALASKA,132123
1997_ALASKA,129919
1996_ALASKA,127618
1995_ALASKA,127057
1994_ALASKA,125948
1993_ALASKA,122487
1992_ALASKA,118680
1991_ALASKA,113903
2018_ARIZONA,1110851
2017_ARIZONA,1123137
2016_ARIZONA,1109040
2015_ARIZONA,1111695
2014_ARIZONA,1102445
2013_ARIZONA,1089384
2012_ARIZONA,1080319
2011_ARIZONA,1071751
2010_ARIZONA,1077831
2009_ARIZONA,1087817
2008_ARIZONA,1087447
2007_ARIZONA,1068249
2006_ARIZONA,1094454
2005_ARIZONA,1043298
2004_ARIZONA,1012068
2003_ARIZONA,937755
2002_ARIZONA,922180
2001_ARIZONA,877696
2000_ARIZONA,852612
1999_ARIZONA,848262
1998_ARIZONA,814113
1997_ARIZONA,799250
1996_ARIZONA,743566
1995_ARIZONA,737424
1994_ARIZONA,709453
1993_ARIZONA,673477
1992_ARIZONA,656980
1991_ARIZONA,639853
2018_ARKANSAS,496085
2017_ARKANSAS,493447
2016_ARKANSAS,492132
2015_ARKANSAS,490917
2014_ARKANSAS,489979
2013_ARKANSAS,486157
2012_ARKANSAS,483114
2011_ARKANSAS,482114
2010_ARKANSAS,480559
2009_ARKANSAS,478965
2008_ARKANSAS,479016
2007_ARKANSAS,476409
2006_ARKANSAS,474206
2005_ARKANSAS,463115
2004_ARKANSAS,454523
2003_ARKANSAS,450985
2002_ARKANSAS,449805
2001_ARKANSAS,449959
2000_ARKANSAS,451034
1999_ARKANSAS,452256
1998_ARKANSAS,456497
1997_ARKANSAS,457349
1996_ARKANSAS,453257
1995_ARKANSAS,447565
1994_ARKANSAS,444271
1993_ARKANSAS,441490
1992_ARKANSAS,438518
1991_ARKANSAS,436286
2018_CALIFORNIA,6304266
2017_CALIFORNIA,6309138
2016_CALIFORNIA,6226737
2015_CALIFORNIA,6312161
2014_CALIFORNIA,6312623
2013_CALIFORNIA,6299451
2012_CALIFORNIA,6287834
2011_CALIFORNIA,6289578
2010_CALIFORNIA,6263438
2009_CALIFORNIA,6322528
2008_CALIFORNIA,6343471
2007_CALIFORNIA,6406750
2006_CALIFORNIA,6437202
2005_CALIFORNIA,6441557
2004_CALIFORNIA,6413867
2003_CALIFORNIA,6353667
2002_CALIFORNIA,6247726
2001_CALIFORNIA,6140814
2000_CALIFORNIA,6038590
1999_CALIFORNIA,5926037
1998_CALIFORNIA,5803887
1997_CALIFORNIA,5686198
1996_CALIFORNIA,5536406
1995_CALIFORNIA,5407475
1994_CALIFORNIA,5327231
1993_CALIFORNIA,5254844
1992_CALIFORNIA,5107145
1991_CALIFORNIA,4950474
2018_COLORADO,910280
2017_COLORADO,905019
2016_COLORADO,899112
2015_COLORADO,889006
2014_COLORADO,876999
2013_COLORADO,863561
2012_COLORADO,854265
2011_COLORADO,843316
2010_COLORADO,832368
2009_COLORADO,818443
2008_COLORADO,801867
2007_COLORADO,794026
2006_COLORADO,779826
2005_COLORADO,765976
2004_COLORADO,757693
2003_COLORADO,751862
2002_COLORADO,742145
2001_COLORADO,724508
2000_COLORADO,708109
1999_COLORADO,699135
1998_COLORADO,687167
1997_COLORADO,673438
1996_COLORADO,656279
1995_COLORADO,640521
1994_COLORADO,625062
1993_COLORADO,612635
1992_COLORADO,593030
1991_COLORADO,574213
2018_CONNECTICUT,531288
2017_CONNECTICUT,535118
2016_CONNECTICUT,537933
2015_CONNECTICUT,542678
2014_CONNECTICUT,546200
2013_CONNECTICUT,550954
2012_CONNECTICUT,554437
2011_CONNECTICUT,560546
2010_CONNECTICUT,563968
2009_CONNECTICUT,567198
2008_CONNECTICUT,570626
2007_CONNECTICUT,575100
2006_CONNECTICUT,575059
2005_CONNECTICUT,577390
2004_CONNECTICUT,577203
2003_CONNECTICUT,570023
2002_CONNECTICUT,570228
2001_CONNECTICUT,562179
2000_CONNECTICUT,553993
1999_CONNECTICUT,544698
1998_CONNECTICUT,535164
1997_CONNECTICUT,527129
1996_CONNECTICUT,517935
1995_CONNECTICUT,506824
1994_CONNECTICUT,496298
1993_CONNECTICUT,488476
1992_CONNECTICUT,481050
1991_CONNECTICUT,469123
2018_DELAWARE,136293
2017_DELAWARE,136264
2016_DELAWARE,134847
2015_DELAWARE,134042
2014_DELAWARE,131687
2013_DELAWARE,129026
2012_DELAWARE,128946
2011_DELAWARE,129403
2010_DELAWARE,126801
2009_DELAWARE,125430
2008_DELAWARE,122574
