Key,Value
2018_ALABAMA,41802.18
2017_ALABAMA,42532.95
2016_ALABAMA,40766.22
2015_ALABAMA,42736.79
2014_ALABAMA,47161.77
2013_ALABAMA,51877.22
2012_ALABAMA,47722.67
2011_ALABAMA,49363.24
2010_ALABAMA,47492.0
2009_ALABAMA,47818.0
2008_ALABAMA,50420.0
2007_ALABAMA,56134.0
2006_ALABAMA,57757.0
2005_ALABAMA,51594.0
2004_ALABAMA,58070.0
2003_ALABAMA,47115.0
2002_ALABAMA,46785.0
2001_ALABAMA,48194.0
2000_ALABAMA,48624.0
1999_ALABAMA,47766.0
1998_ALABAMA,45967.0
1997_ALABAMA,45035.0
1996_ALABAMA,44056.0
1995_ALABAMA,42791.0
1994_ALABAMA,43003.0
1993_ALABAMA,41961.0
1992_ALABAMA,40480.0
1991_ALABAMA,36266.0
2018_ALASKA,7742.85
2017_ALASKA,7824.91
2016_ALASKA,7832.15
2015_ALASKA,7759.08
2014_ALASKA,7898.26
2013_ALASKA,7682.18
2012_ALASKA,8087.87
2011_ALASKA,8170.64
2010_ALASKA,8083.1
2009_ALASKA,7927.0
2008_ALASKA,7613.0
2007_ALASKA,7903.0
2006_ALASKA,7912.0
2005_ALASKA,7756.0
2004_ALASKA,7808.0
2003_ALASKA,8080.0
2002_ALASKA,8026.0
2001_ALASKA,7880.0
2000_ALASKA,7838.0
1999_ALASKA,8118.0
1998_ALASKA,7625.0
1997_ALASKA,7418.0
1996_ALASKA,7379.0
1995_ALASKA,7205.0
1994_ALASKA,7193.0
1993_ALASKA,7282.0
1992_ALASKA,7118.0
1991_ALASKA,6710.0
2018_ARIZONA,47867.58
2017_ARIZONA,48220.08
2016_ARIZONA,47943.56
2015_ARIZONA,48124.48
2014_ARIZONA,48358.73
2013_ARIZONA,48866.42
2012_ARIZONA,50800.15
2011_ARIZONA,50030.62
2010_ARIZONA,51947.23
2009_ARIZONA,54696.0
2008_ARIZONA,54032.0
2007_ARIZONA,52625.0
2006_ARIZONA,51376.0
2005_ARIZONA,48935.0
2004_ARIZONA,47507.0
2003_ARIZONA,47101.0
2002_ARIZONA,46015.0
2001_ARIZONA,44438.0
2000_ARIZONA,43892.0
1999_ARIZONA,42352.0
1998_ARIZONA,41129.0
1997_ARIZONA,40521.0
1996_ARIZONA,38017.0
1995_ARIZONA,38132.0
1994_ARIZONA,37493.0
1993_ARIZONA,36076.0
1992_ARIZONA,33978.0
1991_ARIZONA,32987.0
2018_ARKANSAS,35799.86
2017_ARKANSAS,35730.3
2016_ARKANSAS,35803.87
2015_ARKANSAS,35430.04
2014_ARKANSAS,34933.04
2013_ARKANSAS,34131.42
2012_ARKANSAS,33982.96
2011_ARKANSAS,34272.8
2010_ARKANSAS,37240.0
2009_ARKANSAS,37162.0
2008_ARKANSAS,33882.0
2007_ARKANSAS,35089.0
2006_ARKANSAS,32997.0
2005_ARKANSAS,31234.0
2004_ARKANSAS,30876.0
2003_ARKANSAS,30330.0
2002_ARKANSAS,33079.0
2001_ARKANSAS,31947.0
2000_ARKANSAS,31362.0
1999_ARKANSAS,27953.0
1998_ARKANSAS,26931.0
1997_ARKANSAS,26681.0
1996_ARKANSAS,26449.0
1995_ARKANSAS,26181.0
1994_ARKANSAS,26014.0
1993_ARKANSAS,26017.0
1992_ARKANSAS,25785.0
1991_ARKANSAS,25984.0
2018_CALIFORNIA,271523.05
2017_CALIFORNIA,271287.08
2016_CALIFORNIA,263474.9
2015_CALIFORNIA,267685.03
2014_CALIFORNIA,259505.79
2013_CALIFORNIA,266254.85
2012_CALIFORNIA,268688.93
2011_CALIFORNIA,260806.3
2010_CALIFORNIA,316298.58
2009_CALIFORNIA,303647.0
2008_CALIFORNIA,305371.0
2007_CALIFORNIA,307366.0
2006_CALIFORNIA,309222.0
2005_CALIFORNIA,305969.0
2004_CALIFORNIA,304311.0
2003_CALIFORNIA,307764.0
2002_CALIFORNIA,304203.0
2001_CALIFORNIA,298021.0
2000_CALIFORNIA,287433.0
1999_CALIFORNIA,281784.0
1998_CALIFORNIA,268535.0
1997_CALIFORNIA,248818.0
1996_CALIFORNIA,230849.0
1995_CALIFORNIA,225016.0
1994_CALIFORNIA,221787.0
1993_CALIFORNIA,218566.0
1992_CALIFORNIA,224000.0
1991_CALIFORNIA,217228.0
2018_COLORADO,52373.47
2017_COLORADO,52014.13
2016_COLORADO,51798.13
2015_COLORADO,51388.05
2014_COLORADO,50157.36
2013_COLORADO,48921.79
2012_COLORADO,48077.76
2011_COLORADO,48542.99
2010_COLORADO,49060.32
2009_COLORADO,48692.0
2008_COLORADO,47761.0
2007_COLORADO,46973.0
2006_COLORADO,45841.0
2005_COLORADO,45165.0
2004_COLORADO,44904.0
2003_COLORADO,45401.0
2002_COLORADO,44182.0
2001_COLORADO,41983.0
2000_COLORADO,40772.0
1999_COLORADO,39434.0
1998_COLORADO,37840.0
1997_COLORADO,36398.0
1996_COLORADO,35388.0
1995_COLORADO,34894.0
1994_COLORADO,33661.0
1993_COLORADO,33419.0
1992_COLORADO,33093.0
1991_COLORADO,32342.0
2018_CONNECTICUT,45081.41
2017_CONNECTICUT,42343.2
2016_CONNECTICUT,43772.31
2015_CONNECTICUT,42061.94
2014_CONNECTICUT,43443.09
2013_CONNECTICUT,43931.33
2012_CONNECTICUT,43804.81
2011_CONNECTICUT,42951.39
2010_CONNECTICUT,43592.83
2009_CONNECTICUT,48463.0
2008_CONNECTICUT,39304.0
2007_CONNECTICUT,39115.0
2006_CONNECTICUT,39687.0
2005_CONNECTICUT,38808.0
2004_CONNECTICUT,42370.0
2003_CONNECTICUT,42296.0
2002_CONNECTICUT,41773.0
2001_CONNECTICUT,41044.0
2000_CONNECTICUT,39907.0
1999_CONNECTICUT,38772.0
1998_CONNECTICUT,37658.0
1997_CONNECTICUT,36551.0
1996_CONNECTICUT,36070.0
1995_CONNECTICUT,35316.0
1994_CONNECTICUT,34526.0
1993_CONNECTICUT,34193.0
1992_CONNECTICUT,34383.0
1991_CONNECTICUT,34785.0
2018_DELAWARE,9398.68
2017_DELAWARE,9208.2
2016_DELAWARE,8961.71
2015_DELAWARE,9648.75
2014_DELAWARE,9388.06
2013_DELAWARE,9257.0
2012_DELAWARE,8587.21
2011_DELAWARE,8933.0
2010_DELAWARE,8639.58
2009_DELAWARE,8322.0
2008_DELAWARE,8198.0
2007_DELAWARE,8038.0
2006_DELAWARE,7998.0
2005_DELAWARE,7856.0
2004_DELAWARE,7749.0
2003_DELAWARE,7698.0
2002_DELAWARE,7571.0
2001_DELAWARE,7469.0
2000_DELAWARE,7318.0
1999_DELAWARE,7074.0
1998_DELAWARE,6850.0
1997_DELAWARE,6642.0
1996_DELAWARE,6463.0
1995_DELAWARE,6416.0
1994_DELAWARE,6380.0
1993_DELAWARE,6252.0
1992_DELAWARE,6095.0
1991_DELAWARE,5961.0
2018_FLORIDA,186128.02
2017_FLORIDA,186339.1
2016_FLORIDA,182586.3
2015_FLORIDA,180442.27
2014_FLORIDA,177853.2
2013_FLORIDA,176537.21
2012_FLORIDA,175006.3
2011_FLORIDA,175609.29
2010_FLORIDA,183827.0
2009_FLORIDA,186361.0
2008_FLORIDA,190615.0
2007_FLORIDA,162851.0
2006_FLORIDA,158962.0
2005_FLORIDA,154864.0
2004_FLORIDA,144955.0
2003_FLORIDA,138226.0
2002_FLORIDA,134684.0
2001_FLORIDA,132030.0
2000_FLORIDA,130336.0
1999_FLORIDA,126796.0
1998_FLORIDA,124473.0
1997_FLORIDA,120471.0
1996_FLORIDA,114938.0
1995_FLORIDA,110674.0
1994_FLORIDA,110653.0
1993_FLORIDA,107590.0
1992_FLORIDA,109939.0
1991_FLORIDA,108088.0
2018_GEORGIA,116021.7
2017_GEORGIA,114762.5
2016_GEORGIA,113031.0
2015_GEORGIA,111469.8
2014_GEORGIA,109441.0
2013_GEORGIA,109364.9
2012_GEORGIA,111133.3
2011_GEORGIA,112459.6
2010_GEORGIA,115917.9
2009_GEORGIA,118839.0
2008_GEORGIA,116857.0
2007_GEORGIA,113597.0
2006_GEORGIA,108535.0
2005_GEORGIA,104987.0
2004_GEORGIA,97150.0
2003_GEORGIA,96044.0
2002_GEORGIA,92732.0
2001_GEORGIA,91043.0
2000_GEORGIA,90638.0
1999_GEORGIA,88658.0
1998_GEORGIA,86244.0
1997_GEORGIA,81795.0
1996_GEORGIA,79480.0
1995_GEORGIA,77914.0
1994_GEORGIA,74172.0
1993_GEORGIA,66942.0
1992_GEORGIA,63816.0
1991_GEORGIA,63058.0
2018_HAWAII,12033.47
2017_HAWAII,11781.66
2016_HAWAII,11746.9
2015_HAWAII,11662.71
2014_HAWAII,11780.65
2013_HAWAII,11608.2
2012_HAWAII,11458.37
2011_HAWAII,11395.95
2010_HAWAII,11471.65
2009_HAWAII,11295.0
2008_HAWAII,11397.0
2007_HAWAII,11271.0
2006_HAWAII,11226.0
2005_HAWAII,11146.0
2004_HAWAII,11129.0
2003_HAWAII,10973.0
2002_HAWAII,11007.0
2001_HAWAII,10927.0
2000_HAWAII,10866.0
1999_HAWAII,10639.0
1998_HAWAII,10653.0
1997_HAWAII,10576.0
1996_HAWAII,10500.0
1995_HAWAII,10240.0
1994_HAWAII,10111.0
1993_HAWAII,10083.0
