Key,Value
2018_ALABAMA,54985
2017_ALABAMA,55474
2016_ALABAMA,55613
2015_ALABAMA,57939
2014_ALABAMA,59757
2013_ALABAMA,59428
2012_ALABAMA,57602
2011_ALABAMA,57665
2010_ALABAMA,57019
2009_ALABAMA,56205
2008_ALABAMA,55972
2007_ALABAMA,58209
2006_ALABAMA,58692
2005_ALABAMA,56964
2004_ALABAMA,56541
2003_ALABAMA,55499
2002_ALABAMA,54148
2001_ALABAMA,55112
2000_ALABAMA,56120
1999_ALABAMA,58055
1998_ALABAMA,58326
1997_ALABAMA,60949
1996_ALABAMA,59739
1995_ALABAMA,57723
1994_ALABAMA,56598
1993_ALABAMA,55460
1992_ALABAMA,54125
1991_ALABAMA,54067
2018_ALASKA,10196
2017_ALASKA,10274
2016_ALASKA,10409
2015_ALASKA,10559
2014_ALASKA,10632
2013_ALASKA,10569
2012_ALASKA,10453
2011_ALASKA,10120
2010_ALASKA,9804
2009_ALASKA,9744
2008_ALASKA,9625
2007_ALASKA,9795
2006_ALASKA,9934
2005_ALASKA,9870
2004_ALASKA,9475
2003_ALASKA,10069
2002_ALASKA,10095
2001_ALASKA,9677
2000_ALASKA,9583
1999_ALASKA,9838
1998_ALASKA,10249
1997_ALASKA,10451
1996_ALASKA,10567
1995_ALASKA,10309
1994_ALASKA,10329
1993_ALASKA,10152
1992_ALASKA,10405
1991_ALASKA,10107
2018_ARIZONA,79520
2017_ARIZONA,79760
2016_ARIZONA,79396
2015_ARIZONA,83241
2014_ARIZONA,86258
2013_ARIZONA,86265
2012_ARIZONA,84433
2011_ARIZONA,82860
2010_ARIZONA,84191
2009_ARIZONA,87229
2008_ARIZONA,86742
2007_ARIZONA,85388
2006_ARIZONA,83529
2005_ARIZONA,80614
2004_ARIZONA,76365
2003_ARIZONA,71357
2002_ARIZONA,72119
2001_ARIZONA,68347
2000_ARIZONA,67051
1999_ARIZONA,65312
1998_ARIZONA,63857
1997_ARIZONA,64613
1996_ARIZONA,61420
1995_ARIZONA,59545
1994_ARIZONA,57656
1993_ARIZONA,53497
1992_ARIZONA,54410
1991_ARIZONA,53839
2018_ARKANSAS,36942
2017_ARKANSAS,36917
2016_ARKANSAS,37509
2015_ARKANSAS,38503
2014_ARKANSAS,39900
2013_ARKANSAS,40463
2012_ARKANSAS,37305
2011_ARKANSAS,37701
2010_ARKANSAS,38115
2009_ARKANSAS,37997
2008_ARKANSAS,38192
2007_ARKANSAS,38058
2006_ARKANSAS,38070
2005_ARKANSAS,36967
2004_ARKANSAS,36391
2003_ARKANSAS,35283
2002_ARKANSAS,34981
2001_ARKANSAS,33941
2000_ARKANSAS,34218
1999_ARKANSAS,34120
1998_ARKANSAS,35761
1997_ARKANSAS,36442
1996_ARKANSAS,36731
1995_ARKANSAS,35620
1994_ARKANSAS,34337
1993_ARKANSAS,33511
1992_ARKANSAS,33799
1991_ARKANSAS,34052
2018_CALIFORNIA,531725
2017_CALIFORNIA,535379
2016_CALIFORNIA,530531
2015_CALIFORNIA,511985
2014_CALIFORNIA,506831
2013_CALIFORNIA,489274
2012_CALIFORNIA,488070
2011_CALIFORNIA,468036
2010_CALIFORNIA,471058
2009_CALIFORNIA,461063
2008_CALIFORNIA,454743
2007_CALIFORNIA,454605
2006_CALIFORNIA,458440
2005_CALIFORNIA,455155
2004_CALIFORNIA,456941
2003_CALIFORNIA,456940
2002_CALIFORNIA,457165
2001_CALIFORNIA,459771
2000_CALIFORNIA,459771
1999_CALIFORNIA,459262
1998_CALIFORNIA,463684
1997_CALIFORNIA,469965
1996_CALIFORNIA,472334
1995_CALIFORNIA,448237
1994_CALIFORNIA,444104
1993_CALIFORNIA,431763
1992_CALIFORNIA,428392
1991_CALIFORNIA,423740
2018_COLORADO,63574
2017_COLORADO,64011
2016_COLORADO,64631
2015_COLORADO,66068
2014_COLORADO,67225
2013_COLORADO,66951
2012_COLORADO,66361
2011_COLORADO,65182
2010_COLORADO,64190
2009_COLORADO,63985
2008_COLORADO,61576
2007_COLORADO,60922
2006_COLORADO,59398
2005_COLORADO,56968
2004_COLORADO,55913
2003_COLORADO,53872
2002_COLORADO,53079
2001_COLORADO,51039
2000_COLORADO,50378
1999_COLORADO,50859
1998_COLORADO,51408
1997_COLORADO,50707
1996_COLORADO,50316
1995_COLORADO,48673
1994_COLORADO,47598
1993_COLORADO,47588
1992_COLORADO,47875
1991_COLORADO,46337
2018_CONNECTICUT,36225
2017_CONNECTICUT,36621
2016_CONNECTICUT,36641
2015_CONNECTICUT,37654
2014_CONNECTICUT,38274
2013_CONNECTICUT,39410
2012_CONNECTICUT,38840
2011_CONNECTICUT,39670
2010_CONNECTICUT,39866
2009_CONNECTICUT,40684
2008_CONNECTICUT,39889
2007_CONNECTICUT,40834
2006_CONNECTICUT,41206
2005_CONNECTICUT,41886
2004_CONNECTICUT,42310
2003_CONNECTICUT,41224
2002_CONNECTICUT,41906
2001_CONNECTICUT,41570
2000_CONNECTICUT,42193
1999_CONNECTICUT,42500
1998_CONNECTICUT,42382
1997_CONNECTICUT,43213
1996_CONNECTICUT,44148
1995_CONNECTICUT,43511
1994_CONNECTICUT,42338
1993_CONNECTICUT,41319
1992_CONNECTICUT,40822
1991_CONNECTICUT,40594
2018_DELAWARE,9943
2017_DELAWARE,9894
2016_DELAWARE,10040
2015_DELAWARE,10205
2014_DELAWARE,10488
2013_DELAWARE,10128
2012_DELAWARE,10116
2011_DELAWARE,9810
2010_DELAWARE,9537
2009_DELAWARE,9458
2008_DELAWARE,8817
2007_DELAWARE,8604
2006_DELAWARE,8511
2005_DELAWARE,8279
2004_DELAWARE,7904
2003_DELAWARE,7761
2002_DELAWARE,7615
2001_DELAWARE,7691
2000_DELAWARE,7779
1999_DELAWARE,8025
1998_DELAWARE,8039
1997_DELAWARE,8002
1996_DELAWARE,7775
1995_DELAWARE,7523
1994_DELAWARE,8153
1993_DELAWARE,8025
1992_DELAWARE,8137
1991_DELAWARE,7980
2018_FLORIDA,200185
2017_FLORIDA,201060
2016_FLORIDA,199514
2015_FLORIDA,204552
2014_FLORIDA,209318
2013_FLORIDA,210489
2012_FLORIDA,203302
2011_FLORIDA,197097
2010_FLORIDA,196057
2009_FLORIDA,193428
2008_FLORIDA,197467
2007_FLORIDA,202063
2006_FLORIDA,203325
2005_FLORIDA,197163
2004_FLORIDA,191986
2003_FLORIDA,183270
2002_FLORIDA,177225
2001_FLORIDA,175812
2000_FLORIDA,174953
1999_FLORIDA,174470
1998_FLORIDA,174874
1997_FLORIDA,176512
1996_FLORIDA,176767
1995_FLORIDA,172135
1994_FLORIDA,167140
1993_FLORIDA,161701
1992_FLORIDA,161688
1991_FLORIDA,163209
2018_GEORGIA,126400
2017_GEORGIA,127056
2016_GEORGIA,128788
2015_GEORGIA,133616
2014_GEORGIA,136658
2013_GEORGIA,136837
2012_GEORGIA,133372
2011_GEORGIA,132008
2010_GEORGIA,131325
2009_GEORGIA,129336
2008_GEORGIA,129791
2007_GEORGIA,130453
2006_GEORGIA,128397
2005_GEORGIA,122495
2004_GEORGIA,118849
2003_GEORGIA,114772
2002_GEORGIA,111173
2001_GEORGIA,110960
2000_GEORGIA,110359
1999_GEORGIA,112287
1998_GEORGIA,111081
1997_GEORGIA,112385
1996_GEORGIA,111462
1995_GEORGIA,108398
1994_GEORGIA,103365
1993_GEORGIA,100745
1992_GEORGIA,97590
1991_GEORGIA,97208
2018_HAWAII,14316
2017_HAWAII,14652
2016_HAWAII,14860
2015_HAWAII,11661
2014_HAWAII,17561
2013_HAWAII,17497
2012_HAWAII,16827
2011_HAWAII,16028
2010_HAWAII,15970
2009_HAWAII,15475
2008_HAWAII,15042
2007_HAWAII,13953
2006_HAWAII,14236
2005_HAWAII,13576
2004_HAWAII,13779
2003_HAWAII,13377
2002_HAWAII,13822
2001_HAWAII,14071
2000_HAWAII,14618
1999_HAWAII,15019
1998_HAWAII,15473
1997_HAWAII,16129
1996_HAWAII,16562
1995_HAWAII,15678
1994_HAWAII,15199
1993_HAWAII,14440
1992_HAWAII,14353
1991_HAWAII,13898
2018_IDAHO,21111
2017_IDAHO,21085
2016_IDAHO,20988
2015_IDAHO,21509
2014_IDAHO,23396
2013_IDAHO,22409
2012_IDAHO,21901
2011_IDAHO,21144
2010_IDAHO,21605
2009_IDAHO,21516
2008_IDAHO,21295
2007_IDAHO,20922
2006_IDAHO,19987
2005_IDAHO,19603
2004_IDAHO,18590
2003_IDAHO,17965
2002_IDAHO,17869
2001_IDAHO,17093
2000_IDAHO,17024
1999_IDAHO,17318
1998_IDAHO,17499
1997_IDAHO,17562
1996_IDAHO,17750
1995_IDAHO,17260
1994_IDAHO,17039
1993_IDAHO,16018
1992_IDAHO,15133
1991_IDAHO,15676
2018_ILLINOIS,132075
2017_ILLINOIS,134735
2016_ILLINOIS,135924
2015_ILLINOIS,139729
2014_ILLINOIS,145117
2013_ILLINOIS,147315
2012_ILLINOIS,145489
2011_ILLINOIS,146225
2010_ILLINOIS,148097
2009_ILLINOIS,146969
2008_ILLINOIS,145755
2007_ILLINOIS,147440
2006_ILLINOIS,147726
2005_ILLINOIS,145797
2004_ILLINOIS,146803
2003_ILLINOIS,148274
2002_ILLINOIS,148348
2001_ILLINOIS,147619
2000_ILLINOIS,149840
1999_ILLINOIS,150953
1998_ILLINOIS,153934
1997_ILLINOIS,152268
1996_ILLINOIS,151485
1995_ILLINOIS,146314
1994_ILLINOIS,144758
1993_ILLINOIS,139237
1992_ILLINOIS,139544
1991_ILLINOIS,139976
2018_INDIANA,77944
2017_INDIANA,76874
2016_INDIANA,77044
2015_INDIANA,78861
2014_INDIANA,80611
2013_INDIANA,80681
2012_INDIANA,78166
2011_INDIANA,76765
2010_INDIANA,78224
2009_INDIANA,76308
2008_INDIANA,75445
2007_INDIANA,79145
2006_INDIANA,75519
2005_INDIANA,73142
2004_INDIANA,72315
2003_INDIANA,71570
2002_INDIANA,72344
2001_INDIANA,70727
2000_INDIANA,70438
1999_INDIANA,71996
1998_INDIANA,72989
1997_INDIANA,74803
1996_INDIANA,73833
1995_INDIANA,71594
1994_INDIANA,70226
1993_INDIANA,66065
1992_INDIANA,66881
1991_INDIANA,68024
2018_IOWA,38293
2017_IOWA,38178
2016_IOWA,39218
2015_IOWA,39923
2014_IOWA,41240
2013_IOWA,41381
2012_IOWA,40187
2011_IOWA,39306
2010_IOWA,38956
2009_IOWA,38522
2008_IOWA,37819
2007_IOWA,37592
2006_IOWA,37435
2005_IOWA,36713
2004_IOWA,35295
2003_IOWA,34090
2002_IOWA,34249
2001_IOWA,33977
2000_IOWA,34596
1999_IOWA,35772
1998_IOWA,36486
1997_IOWA,37101
1996_IOWA,37629
1995_IOWA,37402
1994_IOWA,36348
1993_IOWA,36428
1992_IOWA,37841
1991_IOWA,38778
2018_KANSAS,35661
2017_KANSAS,35750
2016_KANSAS,36975
2015_KANSAS,37524
2014_KANSAS,38534
2013_KANSAS,38379
2012_KANSAS,37557
2011_KANSAS,37023
2010_KANSAS,36461
2009_KANSAS,36267
2008_KANSAS,35471
2007_KANSAS,35392
2006_KANSAS,34723
2005_KANSAS,34203
2004_KANSAS,33677
2003_KANSAS,29910
2002_KANSAS,30104
2001_KANSAS,30392
2000_KANSAS,30845
1999_KANSAS,31279
1998_KANSAS,32274
1997_KANSAS,32890
1996_KANSAS,33925
1995_KANSAS,33445
1994_KANSAS,34575
1993_KANSAS,34826
1992_KANSAS,35866
1991_KANSAS,36221
2018_KENTUCKY,44058
2017_KENTUCKY,48888
2016_KENTUCKY,49463
2015_KENTUCKY,51876
2014_KENTUCKY,52267
2013_KENTUCKY,53875
2012_KENTUCKY,52325
2011_KENTUCKY,51091
2010_KENTUCKY,51276
2009_KENTUCKY,50643
2008_KENTUCKY,49986
2007_KENTUCKY,50639
2006_KENTUCKY,50266
2005_KENTUCKY,49027
2004_KENTUCKY,48182
2003_KENTUCKY,46666
2002_KENTUCKY,45781
2001_KENTUCKY,48064
2000_KENTUCKY,46373
1999_KENTUCKY,46900
1998_KENTUCKY,48324
1997_KENTUCKY,46450
1996_KENTUCKY,45038
1995_KENTUCKY,44191
1994_KENTUCKY,43340
1993_KENTUCKY,46140
1992_KENTUCKY,46695
1991_KENTUCKY,46972
2018_LOUISIANA,53070
2017_LOUISIANA,53103
2016_LOUISIANA,53716
2015_LOUISIANA,56119
2014_LOUISIANA,57377
2013_LOUISIANA,58691
2012_LOUISIANA,56037
2011_LOUISIANA,54276
2010_LOUISIANA,53763
2009_LOUISIANA,52660
2008_LOUISIANA,53062
2007_LOUISIANA,53804
2006_LOUISIANA,52937
2005_LOUISIANA,57386
2004_LOUISIANA,56629
2003_LOUISIANA,55020
2002_LOUISIANA,53323
2001_LOUISIANA,55293
2000_LOUISIANA,56021
1999_LOUISIANA,58922
1998_LOUISIANA,60679
1997_LOUISIANA,61170
1996_LOUISIANA,61323
1995_LOUISIANA,60705
1994_LOUISIANA,61133
