Key,Value
2018_ALABAMA,"49,936"
2017_ALABAMA,"52,359"
2016_ALABAMA,"49,412"
2015_ALABAMA,"47,175"
2014_ALABAMA,"44,888"
2013_ALABAMA,"44,679"
2012_ALABAMA,"47,624"
2011_ALABAMA,"47,654"
2010_ALABAMA,"47,244"
2009_ALABAMA,"46,905"
2008_ALABAMA,"51,999"
2007_ALABAMA,"51,248"
2006_ALABAMA,"47,382"
2005_ALABAMA,"47,885"
2004_ALABAMA,"48,812"
2003_ALABAMA,"50,988"
2002_ALABAMA,"52,633"
2001_ALABAMA,"49,989"
2000_ALABAMA,"51,798"
1999_ALABAMA,"54,806"
1998_ALABAMA,"55,997"
1997_ALABAMA,"49,983"
1996_ALABAMA,"48,447"
1995_ALABAMA,"42,661"
1994_ALABAMA,"45,714"
1993_ALABAMA,"43,041"
1992_ALABAMA,"45,403"
1991_ALABAMA,"43,896"
1990_ALABAMA,"43,645"
1989_ALABAMA,"41,733"
1988_ALABAMA,"40,823"
1987_ALABAMA,"41,844"
1986_ALABAMA,"41,963"
1985_ALABAMA,"40,915"
1984_ALABAMA,"39,958"
2018_ALASKA,"68,734"
2017_ALASKA,"73,992"
2016_ALASKA,"79,237"
2015_ALASKA,"79,611"
2014_ALASKA,"71,804"
2013_ALASKA,"66,010"
2012_ALASKA,"69,739"
2011_ALASKA,"64,260"
2010_ALASKA,"66,767"
2009_ALASKA,"72,275"
2008_ALASKA,"74,812"
2007_ALASKA,"76,477"
2006_ALASKA,"70,437"
2005_ALASKA,"72,041"
2004_ALASKA,"73,378"
2003_ALASKA,"70,945"
2002_ALASKA,"73,868"
2001_ALASKA,"81,556"
2000_ALASKA,"77,275"
1999_ALASKA,"77,703"
1998_ALASKA,"78,271"
1997_ALASKA,"75,109"
1996_ALASKA,"84,383"
1995_ALASKA,"78,710"
1994_ALASKA,"76,258"
1993_ALASKA,"73,670"
1992_ALASKA,"73,541"
1991_ALASKA,"73,224"
1990_ALASKA,"73,433"
1989_ALASKA,"70,599"
1988_ALASKA,"67,745"
1987_ALASKA,"70,468"
1986_ALASKA,"68,775"
1985_ALASKA,"77,625"
1984_ALASKA,"74,689"
2018_ARIZONA,"62,283"
2017_ARIZONA,"62,615"
2016_ARIZONA,"59,750"
2015_ARIZONA,"55,378"
2014_ARIZONA,"52,294"
2013_ARIZONA,"54,635"
2012_ARIZONA,"51,546"
2011_ARIZONA,"54,403"
2010_ARIZONA,"54,127"
2009_ARIZONA,"53,662"
2008_ARIZONA,"54,849"
2007_ARIZONA,"57,321"
2006_ARIZONA,"58,250"
2005_ARIZONA,"58,319"
2004_ARIZONA,"58,430"
2003_ARIZONA,"56,340"
2002_ARIZONA,"55,616"
2001_ARIZONA,"60,715"
2000_ARIZONA,"58,172"
1999_ARIZONA,"55,931"
1998_ARIZONA,"57,269"
1997_ARIZONA,"51,237"
1996_ARIZONA,"50,581"
1995_ARIZONA,"50,658"
1994_ARIZONA,"52,601"
1993_ARIZONA,"52,355"
1992_ARIZONA,"51,649"
1991_ARIZONA,"55,420"
1990_ARIZONA,"54,609"
1989_ARIZONA,"55,984"
1988_ARIZONA,"54,099"
1987_ARIZONA,"56,719"
1986_ARIZONA,"55,931"
1985_ARIZONA,"53,287"
1984_ARIZONA,"49,457"
2018_ARKANSAS,"49,781"
2017_ARKANSAS,"50,019"
2016_ARKANSAS,"48,037"
2015_ARKANSAS,"45,362"
2014_ARKANSAS,"47,695"
2013_ARKANSAS,"43,101"
2012_ARKANSAS,"42,752"
2011_ARKANSAS,"46,213"
2010_ARKANSAS,"44,536"
2009_ARKANSAS,"42,867"
2008_ARKANSAS,"46,282"
2007_ARKANSAS,"49,527"
2006_ARKANSAS,"46,265"
2005_ARKANSAS,"47,250"
2004_ARKANSAS,"46,620"
2003_ARKANSAS,"43,798"
2002_ARKANSAS,"45,332"
2001_ARKANSAS,"47,400"
2000_ARKANSAS,"43,424"
1999_ARKANSAS,"44,875"
1998_ARKANSAS,"42,716"
1997_ARKANSAS,"40,942"
1996_ARKANSAS,"43,364"
1995_ARKANSAS,"42,370"
1994_ARKANSAS,"42,972"
1993_ARKANSAS,"39,535"
1992_ARKANSAS,"42,015"
1991_ARKANSAS,"42,254"
1990_ARKANSAS,"42,578"
1989_ARKANSAS,"42,025"
1988_ARKANSAS,"41,282"
1987_ARKANSAS,"39,921"
1986_ARKANSAS,"41,082"
1985_ARKANSAS,"38,946"
1984_ARKANSAS,"36,181"
2018_CALIFORNIA,"70,489"
2017_CALIFORNIA,"71,459"
2016_CALIFORNIA,"69,729"
2015_CALIFORNIA,"67,448"
2014_CALIFORNIA,"64,221"
2013_CALIFORNIA,"62,113"
