PRIMARY_KEY,STATE,YEAR,ALTERNATIVE_KEY,ENROLL,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENTS,KINDERGARTEN_TEACHERS,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,ALL_STUDENT_TEACHER_RATIO,KINDERGARTEN_ALL_RATIO_DIFF,MEDIAN_INCOME,
1992_ALABAMA,ALABAMA,1992,1992_ALABAMA,,,2678885,304177,1659028,715680,2653798,1481703,735036,,174053,8224,55460,57948,58025,41167,471564,196386,676174,208.3278759,252.1875224,207.9635172,,54125,3413,15.85848227,722004,40480,17.83606719,1.97758492,45403,40480
1992_ALASKA,ALASKA,1992,1992_ALASKA,,,1049591,106780,720711,222100,972488,498362,350902,,37451,2371,10152,9748,8789,6714,79117,30847,112335,,,,258.8597125,10405,342,30.42397661,118680,7118,16.67322282,-13.75075379,73541,7118
1992_ARIZONA,ARIZONA,1992,1992_ARIZONA,,,3258079,297888,1369815,1590376,3401580,1435908,1007732,,609114,2544,53497,55433,49081,37410,437127,175210,614881,215.253932,265.3662778,206.2127155,262.1698947,54410,1367,39.8024872,656980,33978,19.33545235,-20.46703485,51649,33978
1992_ARKANSAS,ARKANSAS,1992,1992_ARKANSAS,,,1711959,178571,958785,574603,1743022,964323,483488,,145212,808,33511,34632,36011,27651,281338,123113,405259,210.2060281,256.3120904,208.6344584,264.6196647,33799,1802,18.7563818,438518,25785,17.00670933,-1.749672471,42015,25785
1992_CALIFORNIA,CALIFORNIA,1992,1992_CALIFORNIA,,,26260025,2072470,16546514,7641041,27138832,14358922,8520926,,2044688,59067,431763,418418,363296,270675,3286034,1372011,4717112,208.3989609,260.8922468,196.7644141,,428392,14600,29.34191781,5107145,224000,22.79975446,-6.542163344,61404,224000
1992_COLORADO,COLORADO,1992,1992_COLORADO,,,3185173,163253,1307986,1713934,3264826,1642466,1035970,,364760,7410,47588,50648,45025,34533,394904,160299,562613,221.0234291,272.3984329,213.4808903,266.4196869,47875,1197,39.99582289,593030,33093,17.92010395,-22.07571894,57148,33093
1992_CONNECTICUT,CONNECTICUT,1992,1992_CONNECTICUT,,,3834302,143542,1342539,2348221,3721338,2148041,1142600,,48542,5731,41319,38058,33691,28366,304284,126917,436932,226.79848,273.7393446,222.4175986,264.7139043,40822,1326,30.78582202,481050,34383,13.99092575,-16.79489627,71851,34383
1992_DELAWARE,DELAWARE,1992,1992_DELAWARE,,,645233,45945,420942,178346,638784,372722,194915,,30595,463,8025,8272,8012,6129,67495,28338,96296,217.8999724,262.8685854,206.3890517,261.5779209,8137,189,43.05291005,102196,6095,16.76718622,-26.28572383,62767,6095
1992_FLORIDA,FLORIDA,1992,1992_FLORIDA,,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826,31464,161701,164416,142372,100835,1276685,511557,1819706,213.6897512,259.9088482,204.8826063,262.1189861,161688,6306,25.64034253,1932131,109939,17.57457317,-8.065769359,48114,109939
1992_GEORGIA,GEORGIA,1992,1992_GEORGIA,,,5536901,398701,2798674,2339526,5535942,3043984,1559059,,526644,3303,100745,99648,92374,63646,787599,315539,1106441,215.5949062,259.3594336,206.8441747,,97590,4583,21.29391228,1177569,63816,18.45256675,-2.84134553,50662,63816
